Original,Encoded
Agra,0
Ahmedabad,1
Ahmednagar,2
Aizawl,3
Ajmer,4
Akola,5
Alappuzha,6
Aligarh,7
Alwar,8
Ambala,9
Amravati,10
Amreli,11
Amritsar,12
Anand,13
Anantnag,14
Angul,15
Araria,16
Aurangabad,17
Bagalkote,18
Bahraich,19
Balaghat,20
Balasore,21
Ballari,22
Banaskantha,23
Banda,24
Bankura,25
Bapatla,26
Baramulla,27
Bareilly,28
Barmer,29
Bastar,30
Bathinda,31
Belagavi,32
Bengaluru Rural,33
Bengaluru Urban,34
Betul,35
Bhadradri Kothagudem,36
Bhadrak,37
Bhagalpur,38
Bhavnagar,39
Bhilwara,40
Bhopal,41
Bidar,42
Bijapur,43
Bijnor,44
Bikaner,45
Bilaspur,46
Birbhum,47
Buldhana,48
Bundi,49
Cachar,50
Chamarajanagar,51
Chandigarh,52
Chandrapur,53
Chennai,54
Chhatarpur,55
Chhindwara,56
Chikkaballapura,57
Chikkamagaluru,58
Chitradurga,59
Chittorgarh,60
Churu,61
Coimbatore,62
Cooch Behar,63
Cuddalore,64
Cuttack,65
Dakshin Dinajpur,66
Dakshina Kannada,67
Daman,68
Damoh,69
Darbhanga,70
Darjeeling,71
Datia,72
Davangere,73
Dehradun,74
Devbhumi Dwarka,75
Dhar,76
Dharmapuri,77
Dharwad,78
Dhubri,79
Dibrugarh,80
Dima Hasao,81
Dindigul,82
Diu,83
Durg,84
East Champaran,85
East Godavari,86
East Khasi Hills,87
East Siang,88
East Singhbhum,89
Ernakulam,90
Gadag,91
Gandhinagar,92
Ganganagar,93
Gangtok,94
Ganjam,95
Gaurela-Pendra-Marwahi,96
Gaya,97
Ghazipur,98
Gir Somnath,99
Goalpara,100
Golaghat,101
Gondia,102
Gorakhpur,103
Guna,104
Guntur,105
Gwalior,106
Hamirpur,107
Hanumakonda,108
Hardoi,109
Hassan,110
Haveri,111
Hisar,112
Hojai,113
Hooghly,114
Howrah,115
Hyderabad,116
Imphal West,117
Indore,118
Jabalpur,119
Jagatsinghpur,120
Jaipur,121
Jaisalmer,122
Jalaun,123
Jalgaon,124
Jalna,125
Jalpaiguri,126
Jammu,127
Jamnagar,128
Jhansi,129
Jharsuguda,130
Jhunjhunu,131
Jiribam,132
Jodhpur,133
Jorhat,134
Kachchh,135
Kakinada,136
Kalaburagi,137
Kalahandi,138
Kalimpong,139
Kamrup,140
Kamrup Metropolitan,141
Kangra,142
Kannur,143
Kanpur Nagar,144
Kanyakumari,145
Karaikal,146
Karnal,147
Karur,148
Keonjhar,149
Khammam,150
Khandwa,151
Khargone,152
Khordha,153
Kodagu,154
Kohima,155
Kolhapur,156
Kolkata,157
Kollam,158
Koppal,159
Koraput,160
Kota,161
Kottayam,162
Kozhikode,163
Krishna,164
Kullu,165
Kurnool,166
Lakhimpur,167
Lakshadweep,168
Latur,169
Lucknow,170
Ludhiana,171
Madurai,172
Mahabubnagar,173
Maharajganj,174
Mahendragarh,175
Malappuram,176
Malda,177
Mandi,178
Mandla,179
Mandya,180
Mayurbhanj,181
Medak,182
Meerut,183
Moradabad,184
Mumbai City,185
Mumbai Suburban,186
Murshidabad,187
Muzaffarpur,188
Mysuru,189
NTR,190
Nadia,191
Nagaon,192
Nagapattinam,193
Nagpur,194
Nainital,195
Nalgonda,196
Nanded,197
Nandyal,198
Narmadapuram,199
Narsinghpur,200
Nashik,201
Nellore,202
New Delhi,203
Nicobar,204
Nilgiris,205
Nizamabad,206
North & Middle Andaman,207
North Goa,208
Palakkad,209
Palamu,210
Palghar,211
Pali,212
Parbhani,213
Paschim Bardhaman,214
Paschim Medinipur,215
Pathankot,216
Patiala,217
Patna,218
Peddapalli,219
Porbandar,220
Prakasam,221
Prayagraj,222
Puducherry,223
Pune,224
Purba Bardhaman,225
Purba Medinipur,226
Puri,227
Purnia,228
Purulia,229
Rae Bareli,230
Raichur,231
Raigad,232
Raipur,233
Raisen,234
Rajgarh,235
Rajkot,236
Rajnandgaon,237
Ramanathapuram,238
Ramban,239
Rampur,240
Ranchi,241
Ratlam,242
Ratnagiri,243
Rewa,244
Ri-Bhoi,245
Rohtak,246
Rohtas,247
Sagar,248
Salem,249
Sambalpur,250
Sangli,251
Saran,252
Satara,253
Satna,254
Sawai Madhopur,255
Seoni,256
Shahjahanpur,257
Shajapur,258
Sheopur,259
Shimla,260
Shivamogga,261
Shivpuri,262
Sidhi,263
Sikar,264
Sindhudurg,265
Sirohi,266
Solan,267
Solapur,268
Sonitpur,269
South 24 Parganas,270
South Andaman,271
South Goa,272
Sri Sathya Sai,273
Srikakulam,274
Srinagar,275
Sundargarh,276
Supaul,277
Surat,278
Surendranagar,279
Surguja,280
Tehri Garhwal,281
Thanjavur,282
Theni,283
Thiruvananthapuram,284
Thoothukudi,285
Thrissur,286
Tikamgarh,287
Tiruchirappalli,288
Tirunelveli,289
Tirupati,290
Tirupattur,291
Tiruvallur,292
Udaipur,293
Udalguri,294
Udham Singh Nagar,295
Ujjain,296
Umaria,297
Una,298
Unakoti,299
Uttara Kannada,300
Vadodara,301
Valsad,302
Varanasi,303
Vellore,304
Vidisha,305
Virudhunagar,306
Visakhapatnam,307
Wardha,308
Washim,309
West Godavari,310
West Tripura,311
YSR,312
Yavatmal,313
