Original,Encoded
Agartala,0
Agatti / Kavaratti,1
Agra,2
Agumbe,3
Ahmadabad,4
Ahmadnagar,5
Aijal,6
Ajmer,7
Akola,8
Alapuzha,9
Alibag,10
Aligarh,11
Allahabad / Bamhrauli,12
Alwar,13
Ambala,14
Ambala / Amb?la,15
Ambikapur,16
Amini Divi,17
Amraoti,18
Amreli,19
Amritsar,20
Anantapur,21
Angul,22
Arogyavaram,23
Atiramapattinam,24
Aurangabad,25
Aurangabad Chikalthan Aerodrome,26
Bagalkote / Mangoli,27
Bagati,28
Bahraich,29
Balasore,30
Balurghat,31
Banda,32
Bangalore,33
Bangalore / Bengaluru / Devenahalli / BIAL 2 Wheeler Parking,34
Bangalore / Hindustan Airport,35
Banihal,36
Bankura,37
Bapatla,38
Baramati,39
Barapani / Bara Pani,40
Bareilly,41
Baripada,42
Barmer,43
Baroda / Vadodara,44
Baroda Aerodrome,45
Belgaum,46
Belgaum / Sambra,47
Bellary,48
Berhampore,49
Betul,50
Bhagalpur,51
Bhatinda,52
Bhaunagar,53
Bhawanipatna,54
Bhilwara,55
Bhopal / Bairagarh,56
Bhubaneswar,57
Bhuj-Rudramata,58
Bhuntar,59
Bidar Airport,60
Bijapur,61
Bikaner,62
Bilaspur,63
Bombay / Colaba,64
Bombay / Juhu,65
Bombay / Santacruz,66
Bramhapuri,67
Buldana,68
Bulsar,69
Bundi,70
Burdwan,71
Calcutta / Alipore,72
Calcutta / Dum Dum,73
Calicut / Kondotti,74
Canning,75
Cannur,76
Car Nicobar,77
Chamarajnagar / Chamrajnagar,78
Chandbali,79
Chandigarh / S?rajpur,80
Chandrapur,81
Chaparmukh,82
Chapra,83
Cherrapunji,84
Chhindwara,85
Chickmagalur,86
Chikkanahalli / Sadali,87
Chintamani / Sugut?ru,88
Chitradurga,89
Chittorgarh,90
Churu,91
Cochin / K?ladi,92
Cochin / Willingdon,93
Cochin Int. Airport / K?ladi,94
Coimbatore,95
Coimbatore / Peelamedu,96
Contai,97
Cooch Behar,98
Coonoor,99
Cuddalore,100
Cuddapah,101
Cuttack,102
Cwc Vishakhapatnam / Waltair,103
Dahanu,104
Daltonganj,105
Daman,106
Daman / Dam?n,107
Damoh,108
Darbhanga,109
Darjeeling,110
Datia,111
Davangere / SM Krishna Ext.,112
Deesa,113
Dehradun,114
Dehradun / R?ni Pokhri,115
Dehri,116
Dhar,117
Dharmapuri,118
Dharmpur,119
Dharmsala,120
Dharwad,121
Dhubri,122
Dhubri Rupsi,123
Diamond Harbour,124
Dibrugarh / Mohanbari,125
Digha,126
Diu,127
Durg,128
Dwarka,129
Erinpura / Jawai Dam Site,130
Forbesganj,131
Fort Cochin,132
Fursatganj / R?e Bareli,133
Gadag,134
Gandhinagar,135
Ganganagar,136
Gangtok,137
Gauhati,138
Gaya,139
Ghazipur,140
Goa / Dabolim Airport,141
Goa / Panjim,142
Goalpara,143
Golaghat,144
Gondia,145
Gopalpur,146
Gorakhpur,147
Gulbarga,148
Gulmarg,149
Guna,150
Gwalior,151
Haflong,152
Hamirpur,153
Hanamkonda,154
Hardoi,155
Harnai,156
Hassan,157
Haveri / H?veri,158
Hissar,159
Honavar,160
Hoshangabad,161
Hut Bay,162
Hyderabad / Anthredigudam,163
Hyderabad Airport,164
Imphal Tulihal,165
Indore,166
Jabalpur,167
Jagdalpur,168
Jaipur / Sanganer,169
Jaisalmer,170
Jalgaon,171
Jalna / Badnapur,172
Jalpaiguri,173
Jammu,174
Jammu / R?mb?gh,175
Jamnagar,176
Jamshedpur,177
Jeur,178
Jhansi,179
Jharsuguda,180
Jindal Vijaynagar,181
Jodhpur,182
Jorhat / Lengrabhita,183
K. Paramathy,184
Kailashahar,185
Kakinada,186
Kalimpong,187
Kalingapatam,188
Kandla Aerodrome,189
Kangra / Chari,190
Kanniyakumari,191
Kanpur,192
Kanpur / Chakeri,193
Karaikal,194
Karnal,195
Karwar,196
Kavali,197
Keongjhargarh,198
Keshod,199
Khajuraho,200
Khammam,201
Khandwa,202
Khargone,203
Kodaikanal,204
Kohima,205
Kolhapur,206
Koppal,207
Koraput,208
Kota Aerodrome,209
Kothagudem,210
Kottayam,211
Kovilangulam / Aruppukkottai,212
Kozhikode,213
Krishnanagar,214
Kurnool,215
Lengpui / Hmunpui,216
Long Island,217
Lucknow,218
Lucknow / Amausi,219
Ludhiana,220
Ludhiana / Dor?ha,221
Lumding,222
M. O. Ranchi,223
M.O. Agathi Airport / Kavaratti,224
M.O. Karipur Airport / Kondotti,225
M.O. Pondicherry / Puducherry,226
Machilipatnam,227
Madikeri,228
Madras,229
Madras / Minambakkam,230
Madurai,231
Mahabaleshwar,232
Mahabubnagar,233
Mahuva,234
Majbat,235
Malanjkhand,236
Malda,237
Malegaon,238
Mana / Raipur,239
Manali,240
Mandi,241
Mandla,242
Mandya,243
Mangalore / Bajpe,244
Mangalore / Panambur,245
Manipur Road / R?jb?ri,246
Matheran,247
Maya Bandar,248
Medak,249
Meerut,250
Midnapore,251
Minicoy,252
Moradabad,253
Mormugao,254
Mount Abu,255
Mukteshwar Kumaon,256
Muzaffarpur,257
Mysore,258
Nagappattinam,259
Nagpur Mayo Hospital,260
Nagpur Sonegaon,261
Nainital,262
Najibabad,263
Nalgonda,264
Naliya,265
Nancowry,266
Nanded,267
Nandigama,268
Nandyal,269
Narnaul,270
Narsapur,271
Narsinghpur,272
Nasik,273
Nasik Ozar,274
Nautanwa,275
Nellore,276
New Delhi / Palam,277
New Delhi / Safdarjung,278
New Kandla,279
Nilambur,280
Nizamabad,281
North Lakhimpur,282
Nowgong,283
Okha,284
Ondal / And?l,285
Ongole,286
Orai,287
Pachmarhi,288
Palakkad,289
Palayankottai,290
Pamban,291
Panagarh / P?n?garh,292
Pantnagar,293
Paradip C. W. R.,294
Parangipettai,295
Parbhani,296
Pasighat,297
Pathankot / Path?nkot,298
Patiala,299
Patna,300
Pbo Raipur,301
Pendra Road,302
Periakulum / Ellakkal,303
Phalodi,304
Pilani,305
Pondicherry / Auroville,306
Poona,307
Poona / Lohogaon Aerodrome,308
Porbandar,309
Port Blair,310
Port Blair / Portblair / Austin?b?d,311
Punalur,312
Puri,313
Purnea,314
Purulia,315
Qazi Gund,316
Raichur,317
Raipur / Phundardih,318
Raisen,319
Rajahmundry / R?j?nagaram,320
Rajgarh,321
Rajkot,322
Rajnandgaon / R?j N?ndgaon,323
Ramgundam,324
Rampur,325
Ranchi / Silwai,326
Rangia,327
Ratlam,328
Ratnagiri,329
Raxaul,330
Rentachintala,331
Rewa,332
Rohtak,333
Rourkela,334
Sabaur,335
Sagar,336
Salem,337
Sambalpur,338
Sangli,339
Satara,340
Satna,341
Sawai Madhopur,342
Seoni,343
Shahjahanpur,344
Shajapur,345
Shanti Niketan,346
Sheopur,347
Shillong,348
Shimla,349
Shimla / Kanda,350
Shimoga,351
Shirali,352
Shivpuri,353
Sholapur,354
Sidhi,355
Sikar,356
Silchar,357
Siliguri,358
Srinagar,359
Sundargarh,360
Sundernagar / Sundarnagar,361
Supaul,362
Surat,363
Surat / Magdala,364
Surendranagar,365
T.B.I.A,366
Tehri,367
Tezpur,368
Thanjavur,369
Thiruvananthapuram,370
Thrissur,371
Tikamgarh,372
Tiruchchirapalli,373
Tirupathi,374
Tirupati / Renigunta,375
Tiruppattur,376
Tiruttani,377
Tondi,378
Tuni,379
Tuticorin New Port,380
Udaipur,381
Udaipur / Naramagra,382
Udaipur Dabok,383
Udgir,384
Udhagamandalam,385
Ujjain,386
Uluberia,387
Umaria,388
Una,389
Vallabh Vidyanagar,390
Valparai,391
Varanasi,392
Varanasi / Babatpur,393
Vellore,394
Vengurla,395
Veraval,396
Vidisha,397
Vijayawada / Gannavaram,398
Vishakhapatnam,399
Vishakhapatnam / Gajuwaka,400
Vizagapatam / Gajuwaka,401
Wardha,402
Washim / W?sh?m,403
Yeotmal,404
Yercaud,405
